about | prep., adv. [อะเบาท์] | เกี่ยวกับ
humanity | (n.) C1 [ฮิวแมนนิตี้] | มนุษยชาติ
humble | (adj.) C1 [ฮัมเบิล] | ถ่อมตน
hunger | (n.) B2 [ฮังเกอร์] | ความหิว
hydrogen | (n.) C1 [ไฮโดรเจน] | ไฮโดรเจน
hypothesis | (n.) B2 [ไฮโพเธซีส] | สมมติฐาน
icon | (n.) B2 [ไอคอน] | ไอคอน
ID | (n.) B2 [ไอดี] | บัตรประจำตัว
identical | (adj.) B2 [ไอเดนติคัล] | เหมือนกัน
identification | (n.) C1 [ไอเดนติฟิเคชั่น] | การระบุ
ideological | (adj.) C1 [ไอเดียโลจิคัล] | เกี่ยวกับอุดมการณ์
ideology | (n.) C1 [ไอเดียโลจี] | อุดมการณ์
idiot | (n.) C1 [อีเดียต] | คนโง่
ignorance | (n.) C1 [อิกโนแรนซ์] | ความไม่รู้
illusion | (n.) B2 [อิลลูชัน] | ความหลงผิด
imagery | (n.) C1 [อิมเมจรี] | การสร้างภาพ
immense | (adj.) C1 [อิมเมนส์] | ใหญ่โต
immigration | (n.) B2 [อิมมิเกรชัน] | การอพยพ
imminent | (adj.) C1 [อิมมินเนนท์] | ใกล้จะเกิด
immune | (adj.) B2 [อิมมูน] | ภูมิคุ้มกัน
implement | (v.) B2 [อิมพลีเมนต์] | ดำเนินการ
implementation | (n.) C1 [อิมพลีเมนเทชั่น] | การดำเนินการ
implication | (n.) B2 [อิมพลิเคชัน] | ความหมายที่แฝง
imprison | (v.) C1 [อิมพริซัน] | จองจำ
inability | (n.) C1 [อินอะบิลิตี้] | ความไม่สามารถ
inadequate | (adj.) C1 [อินอะแดควัต] | ไม่เพียงพอ
inappropriate | (adj.) C1 [อินแอพโพรพรีเอท] | ไม่เหมาะสม
incarcerate | (v.) C1 [อินคาร์เซอเรท] | จำคุก
incarceration | (n.) C1 [อินคาร์เซอเรชั่น] | การจำคุก
incentive | (n.) B2 [อินเซนทิฟ] | แรงจูงใจ
incidence | (n.) C1 [อินซิเดนซ์] | ความถี่
inclined | (adj.) C1 [อินไคลด์] | เอียง
inclusion | (n.) C1 [อินคลูชั่น] | การรวมเข้า
incorporate | (v.) B2 [อินคอร์ปอเรท] | รวมเข้าด้วยกัน
incorrect | (adj.) B2 [อินคอร์เร็คท] | ไม่ถูกต้อง
incur | (v.) C1 [อินเคอร์] | ประสบ
independence | (n.) B2 [อินดีเพนเดนซ์] | ความเป็นอิสระ
index | (n.) B2 [อินเด็กซ์] | ดัชนี
indication | (n.) B2 [อินดิเคชัน] | สัญญาณ
indicator | (n.) C1 [อินดิเคเตอร์] | ตัวชี้วัด
indictment | (n.) C1 [อินไดทเมนต์] | ข้อกล่าวหา
indigenous | (adj.) C1 [อินดิเรอัส] | ซึ่งเป็นพื้นเมือง
induce | (v.) C1 [อินดิวซ์] | กระตุ้น
indulge | (v.) C1 [อินดัลจ] | ตามใจ
inequality | (n.) C1 [อินอิควอลิตี้] | ความไม่เสมอภาค
inevitable | (adj.) B2 [อินเอวิเทเบิล] | หลีกเลี่ยงไม่ได้
inevitably | (adv.) B2 [อินเอวิเทเบลลี่] | อย่างหลีกเลี่ยงไม่ได้
infamous | (adj.) C1 [อินเฟมัส] | มีชื่อเสียงในทางที่ไม่ดี
infant | (n.) C1 [อินแฟนท์] | ทารก
infect | (v.) C1 [อินเฟ็คท] | ติดเชื้อ
infer | (v.) B2 [อินเฟอร์] | สรุป
inflation | (n.) B2 [อินเฟลชั่น] | การเงินเฟ้อ
inflict | (v.) C1 [อินฟลิกต์] | ทำให้ได้รับ
influential | (adj.) C1 [อินฟลูเอนเชียล] | มีอิทธิพล
info | (n.) B2 [อินโฟ] | ข้อมูล
infrastructure | (n.) B2 [อินฟราสตรัคเจอร์] | โครงสร้างพื้นฐาน
inhabitant | (n.) B2 [อินแฮบิแทนท์] | ผู้อยู่อาศัย
inherent | (adj.) C1 [อินเฮอเรนท์] | โดยธรรมชาติ
inherit | (v.) B2 [อินเฮอริท] | สืบทอด
inhibit | (v.) C1 [อินฮิบิต] | ขัดขวาง
initiate | (v.) C1 [อินนิชิเอต] | เริ่มต้น
inject | (v.) C1 [อินเจคท] | ฉีด
injection | (n.) C1 [อินเจคชั่น] | การฉีด
injustice | (n.) C1 [อินจัสติซ] | ความไม่ยุติธรรม
ink | (n.) B2 [อิงค์] | หมึก
inmate | (n.) C1 [อินเมท] | ผู้ต้องขัง
innovation | (n.) B2 [อินโนเวชั่น] | นวัตกรรม
innovative | (adj.) B2 [อินโนเวทีฟ] | ซึ่งมีนวัตกรรม
input | (n.) B2 [อินพุต] | ข้อมูลนำเข้า
inquire | (v.) C1 [อินไควร์] | สอบถาม
insert | (v.) B2 [อินเซิร์ท] | แทรก
insertion | (n.) C1 [อินเซิร์ชัน] | การแทรก
insider | (n.) C1 [อินไซเดอร์] | บุคคลภายใน
inspect | (v.) C1 [อินสเป็คท] | ตรวจสอบ
inspection | (n.) C1 [อินสเป็คชั่น] | การตรวจสอบ
inspector | (n.) B2 [อินสเปคเตอร์] | ผู้ตรวจสอบ
inspiration | (n.) C1 [อินสไปเรชัน] | แรงบันดาลใจ
installation | (n.) B2 [อินสตอลเลชัน] | การติดตั้ง
instant | (adj.) B2 [อินสแทนท์] | ทันที
instantly | (adv.) B2 [อินสแทนทลี่] | ทันทีที่
instinct | (n.) C1 [อินสติงค์ท] | สัญชาตญาณ
institutional | (adj.) C1 [อินสทิทูชันนัล] | เชิงสถาบัน
instruct | (v.) C1 [อินสตรัคท] | สอน
instrumental | (adj.) C1 [อินสตรูเมนทัล] | ซึ่งเป็นเครื่องมือ
insufficient | (adj.) C1 [อินซัฟฟิชเชินท] | ไม่เพียงพอ
insult | (n., v.) C1 [อินซัลท์] | การดูถูก, ดูถูก
intact | (adj.) C1 [อินแทคท์] | สมบูรณ์
intake | (n.) C1 [อินเทค] | การรับเข้า
integral | (adj.) C1 [อินเทกรัล] | ซึ่งจำเป็น
integrate | (v.) B2 [อินเทกรท] | รวม
integrated | (adj.) C1 [อินเทเกรเต็ด] | รวมเข้าด้วยกัน
integration | (n.) C1 [อินเทเกรชั่น] | การรวมเข้าด้วยกัน
integrity | (n.) C1 [อินเทกริตี้] | ความซื่อสัตย์
intellectual | (adj.) B2, (n.) C1 [อินเทลเล็กชวล] | ทางปัญญา, นักปัญญา
intensify | (v.) C1 [อินเทนซิฟาย] | เพิ่มความเข้มข้น
intensity | (n.) C1 [อินเทนซิตี้] | ความเข้มข้น
intensive | (adj.) C1 [อินเทนซิฟ] | เข้มข้น
intent | (n.) C1 [อินเทนท์] | เจตนา
interact | (v.) B2 [อินเทอแรคท] | ปฏิสัมพันธ์
interaction | (n.) B2 [อินเทอแรคชั่น] | การปฏิสัมพันธ์
interactive | (adj.) C1 [อินเทอแรคทีฟ] | ซึ่งมีปฏิสัมพันธ์
interface | (n.) C1 [อินเทอร์เฟซ] | ส่วนติดต่อ
interfere | (v.) C1 [อินเทอร์เฟียร์] | รบกวน
interference | (n.) C1 [อินเทอร์เฟอเรนซ์] | การรบกวน
interim | (adj.) C1 [อินเทอริม] | ชั่วคราว
interior | (adj., n.) C1 [อินเทอเรียร์] | ภายใน, ส่วนภายใน
intermediate | (adj.) C1 [อินเทอร์มีเดียต] | ระดับกลาง
interpretation | (n.) B2 [อินเตอร์พรีเทชั่น] | การตีความ
intersection | (n.) C1 [อินเทอเซ็คชั่น] | จุดตัด
interval | (n.) B2 [อินเทอวล] | ช่วงเวลา
intervene | (v.) C1 [อินเทอรีฟีน] | เข้ามาแทรกแซง
intervention | (n.) C1 [อินเทอเวนชั่น] | การแทรกแซง
intimate | (adj.) C1 [อินทิเมท] | สนิทสนม
intriguing | (adj.) C1 [อินทริกกิง] | น่าสนใจ
invade | (v.) B2 [อินเวด] | บุกรุก
invasion | (n.) B2 [อินเวชัน] | การบุกรุก
inventory | (n.) C1 [อินเวนทอรี] | สินค้าคงคลัง
investigator | (n.) C1 [อินเวสติเกเตอร์] | นักสืบ
investor | (n.) B2 [อินเวสเตอร์] | นักลงทุน
invisible | (adj.) C1 [อินวิซิเบิล] | มองไม่เห็น
invoke | (v.) C1 [อินโวค] | อ้างอิง, เรียกร้อง
involvement | (n.) C1 [อินวอล์ฟเมนท์] | การมีส่วนร่วม
ironic | (adj.) C1 [ไอโรนิก] | ที่ตรงกันข้ามกับความเป็นจริง
ironically | (adv.) C1 [ไอโรนิกัลลี่] | อย่างมีนัยขบขัน
irony | (n.) C1 [ไอโรนี] | ความขบขันที่ตรงกันข้าม
irrelevant | (adj.) C1 [อิเรเลแวนท์] | ไม่เกี่ยวข้อง
isolate | (v.) B2 [ไอซเลท] | แยกออก
isolated | (adj.) B2 [ไอซเลทิด] | ซึ่งแยกออก
isolation | (n.) C1 [ไอซโอลเลชัน] | การแยกออก
jail | (n., v.) B2 [เจล] | คุก, จำคุก
jet | (n.) B2 [เจ็ต] | เครื่องบินเจ็ต
joint | (adj., n.) B2 [จอยน์ท] | ร่วม, ข้อ
journalism | (n.) B2 [เจอร์นัลลิซึม] | วารสารศาสตร์
judicial | (adj.) C1 [จูดิชเชียล] | เกี่ยวกับศาล
jurisdiction | (n.) C1 [จูริสดิกชั่น] | อำนาจศาล
jury | (n.) B2 [เจอรี่] | คณะลูกขุน
just | (adj.) C1 [จัสท์] | ยุติธรรม
justification | (n.) C1 [จัสติฟิเคชั่น] | การให้เหตุผล
keen | (adj.) C1 [คีน] | กระตือรือร้น
kidnap | (v.) C1 [คิdnัป] | ลักพาตัว
kidney | (n.) C1 [คิdnี] | ไต
kindergarten | (n.) B2 [คินเดอร์การ์เทน] | โรงเรียนอนุบาล
kingdom | (n.) C1 [คิงดอม] | อาณาจักร
kit | (n.) B2 [คิท] | ชุด
ladder | (n.) B2 [แลดเดอร์] | บันได
landing | (n.) B2 [แลนด์ดิ้ง] | การลงจอด
landlord | (n.) C1 [แลนด์ลอร์ด] | เจ้าของบ้านเช่า
landmark | (n.) C1 [แลนด์มาร์ค] | จุดสังเกต
lane | (n.) B2 [เลน] | เลน
lap | (n.) C1 [แลพ] | ตัก
largescale | (adj.) C1 [ลาร์จ-สเคล] | ขนาดใหญ่
